AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
6.519;4.195;26.202999999999996;6.519;6.519;4.906000000000001;4.906000000000001;6.519;6.519;4.0009999999999994;4.0009999999999994;13.397;13.397;15.572;15.572;15.572;15.572;15.572;15.572;15.572;6.519;6.519;4.906000000000001;8.625;11.587;13.397;6.519;6.519;11.587;4.906000000000001;4.906000000000001;4.906000000000001;4.906000000000001
6.007;4.831;30.887;6.007;8.109;7.499;7.499;8.109;7.499;3.9299999999999997;2.911;16.775;15.791999999999998;16.775;16.775;16.775;16.775;16.775;16.775;16.775;8.109;8.109;7.499;8.109;10.98;15.791999999999998;8.109;6.007;10.95;5.108;5.108;7.499;7.499
8.846;5.191;37.983999999999995;8.846;8.846;8.815000000000001;8.815000000000001;8.846;8.815000000000001;4.079;3.276;19.421;19.421;19.421;19.421;19.421;19.421;19.421;19.421;19.421;8.846;8.846;8.5;8.846;11.587;19.421;8.846;8.846;11.587;5.1450000000000005;5.1450000000000005;8.815000000000001;8.815000000000001
9.540000000000001;5.604;47.918;9.540000000000001;9.540000000000001;9.540000000000001;9.540000000000001;9.540000000000001;9.540000000000001;4.7909999999999995;4.297;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;24.5;9.540000000000001;9.540000000000001;10.0;9.540000000000001;15.979;24.5;9.540000000000001;9.540000000000001;15.979;5.103;5.103;9.540000000000001;9.540000000000001
8.671;6.9319999999999995;44.043;8.671;8.671;8.784;8.671;8.671;8.671;6.509;6.096;22.519;22.519;22.519;22.519;22.519;22.519;22.519;22.519;22.519;8.671;8.671;10.99;8.671;19.425;22.519;8.671;8.671;19.425;5.102;5.102;8.671;8.671
7.172;6.95;35.125;7.172;7.172;7.127;7.127;7.172;7.127;6.784999999999999;6.093999999999999;21.628999999999998;17.959;21.628999999999998;21.628999999999998;21.628999999999998;21.628999999999998;21.628999999999998;21.628999999999998;21.628999999999998;7.172;7.172;9.99;8.214;19.8;17.959;7.172;7.172;19.8;5.036;5.036;7.127;7.127
5.673;6.2219999999999995;32.025;5.673;5.673;5.412;5.412;5.673;5.412;6.2219999999999995;5.412;19.964;16.374000000000002;19.964;19.964;19.964;19.964;19.964;24.0;19.964;5.673;5.673;7.7;8.937999999999999;20.838;16.374000000000002;5.673;5.673;20.838;5.002000000000001;5.002000000000001;5.412;5.412
4.616;4.616;22.1;4.616;4.616;4.616;4.616;4.616;4.616;4.616;4.616;17.841;11.3;17.841;17.841;17.841;17.841;17.841;17.841;17.841;4.616;4.616;4.616;7.366;20.91;11.3;4.616;4.616;20.91;4.616;4.616;4.616;4.616
4.629;4.629;9.053;4.629;4.629;4.629;4.629;4.629;4.629;4.629;4.629;15.443999999999999;4.629;15.443999999999999;15.443999999999999;15.443999999999999;15.443999999999999;15.443999999999999;15.443999999999999;15.443999999999999;4.629;4.629;4.629;7.428;19.136000000000003;4.629;4.629;4.629;19.136000000000003;4.629;4.629;4.629;4.629
3.293;3.293;6.441;3.293;3.293;3.293;3.293;3.293;3.293;3.293;3.293;22.156;3.293;14.479;14.479;14.479;14.479;14.479;14.479;14.479;3.293;3.293;3.293;5.704;17.8;3.293;3.293;3.293;17.8;3.293;3.293;3.293;3.293
2.089;-0.06999999999999999;4.086;2.089;2.089;1.3199999999999998;1.3199999999999998;2.089;2.089;0.271;0.031;20.159;2.089;12.7;12.7;12.7;12.7;12.7;12.7;12.7;2.089;2.089;0.031;2.182;18.15;2.089;2.089;2.089;18.15;2.089;2.089;2.089;2.089
0.97;-0.134;1.8969999999999998;0.97;0.97;1.9920000000000002;1.9920000000000002;1.9920000000000002;1.9920000000000002;0.17099999999999999;-0.001;27.218;0.97;12.7;12.7;12.7;12.7;12.7;12.7;12.7;1.9920000000000002;1.9920000000000002;-0.001;1.9620000000000002;16.072;0.97;0.97;0.97;16.072;1.9920000000000002;1.9920000000000002;1.9920000000000002;1.9920000000000002
0.97;-0.099;1.8969999999999998;0.97;0.97;1.987;1.987;1.987;1.987;0.124;-0.007000000000000001;27.218;0.97;8.462;8.462;8.462;8.462;8.462;8.462;8.462;1.987;1.987;-0.007000000000000001;1.9620000000000002;15.463999999999999;0.97;0.97;0.97;15.463999999999999;1.987;1.987;1.987;1.987
0.7070000000000001;-0.183;1.383;0.7070000000000001;0.7070000000000001;1.324;1.324;1.982;1.982;0.006;-0.10500000000000001;8.327;0.7070000000000001;8.327;8.327;8.327;8.327;8.327;8.327;8.327;1.982;1.982;-0.10500000000000001;2.754;14.986;0.7070000000000001;0.7070000000000001;0.7070000000000001;14.986;1.982;1.982;1.982;1.982
0.899;-0.172;1.7579999999999998;0.899;0.899;0.01;1.329;2.0260000000000002;2.0260000000000002;0.009;-0.1;8.5;0.899;8.5;8.5;8.5;8.5;8.5;8.5;8.5;2.0260000000000002;2.0260000000000002;-0.1;4.918;14.449000000000002;0.899;0.899;0.899;14.449000000000002;2.0260000000000002;2.0260000000000002;2.0260000000000002;2.0260000000000002
1.534;0.0;2.9989999999999997;1.534;1.534;0.032;0.924;2.935;2.935;0.144;0.032;8.45;1.534;8.45;8.45;8.45;8.45;8.45;8.45;8.45;2.935;2.935;0.0;7.63;14.886000000000001;1.534;1.534;1.534;14.886000000000001;2.935;2.935;2.935;2.935
6.121;3.522;15.647;16.286;8.0;3.755;3.755;8.0;8.0;4.111;3.755;16.446;8.0;16.446;16.446;16.446;16.446;16.446;16.446;16.446;8.0;8.0;3.597;8.998000000000001;15.377;8.0;8.0;16.286;15.377;3.755;3.755;3.755;3.755
8.919;8.85;22.101;20.203;10.248000000000001;8.876000000000001;8.876000000000001;10.687000000000001;10.687000000000001;9.054;8.876000000000001;20.203;11.3;20.203;20.203;20.203;20.203;20.203;20.203;20.203;10.687000000000001;10.687000000000001;9.034;10.248000000000001;16.072;11.3;10.248000000000001;20.203;16.072;4.837;4.837;8.876000000000001;8.876000000000001
13.147;9.6;27.593;21.2;13.147;12.293000000000001;12.293000000000001;13.147;12.293000000000001;16.179;12.293000000000001;21.2;14.108;21.2;21.2;21.2;21.2;21.2;21.2;21.2;13.147;13.147;12.0;11.924;18.926;14.108;13.147;21.2;18.926;4.848;4.848;12.293000000000001;12.293000000000001
12.592;7.05;26.506999999999998;23.2;13.553;11.017;11.017;13.553;11.017;18.036;11.017;20.203;13.553;23.2;23.2;23.2;23.2;23.2;23.2;23.2;13.553;13.553;12.99;11.467;18.354;13.553;13.553;23.2;18.354;4.807;4.807;11.017;11.017
10.102;9.056999999999999;26.506999999999998;23.951;10.745999999999999;9.338;9.338;10.745999999999999;10.199;12.503;9.338;20.159;13.553;23.951;23.951;23.951;23.951;23.951;23.951;23.951;10.745999999999999;10.745999999999999;11.904;10.745999999999999;16.072;13.553;10.745999999999999;23.951;16.072;4.818;4.818;9.338;9.338
9.363;10.133;23.576;21.222;11.008;9.073;9.073;11.008;10.238;10.074;9.073;20.159;12.054;21.222;21.222;21.222;21.222;21.222;21.222;21.222;11.008;11.008;11.919;11.008;15.219999999999999;12.054;11.008;21.222;15.219999999999999;4.82;4.82;9.073;9.073
8.643;9.73;26.500999999999998;20.203;11.978;8.237;8.237;11.978;10.606;9.639;8.237;20.203;13.55;20.203;20.203;20.203;20.203;20.203;20.203;20.203;11.978;11.978;12.0;11.978;14.886000000000001;13.55;11.978;20.203;14.886000000000001;4.867;4.867;8.237;8.237
8.503;9.620000000000001;22.883000000000003;19.988999999999997;11.7;8.09;8.09;11.7;11.007;9.522;8.09;19.988999999999997;11.7;19.988999999999997;19.988999999999997;19.988999999999997;19.988999999999997;19.988999999999997;19.988999999999997;19.988999999999997;11.7;11.7;12.262;11.7;14.203999999999999;11.7;11.7;19.988999999999997;14.203999999999999;4.83;4.83;8.09;8.09
8.723;10.073;25.425;20.716;11.157;8.099;8.099;11.157;10.197;10.267;8.099;20.716;13.0;20.716;20.716;20.716;20.716;20.716;20.716;20.716;11.157;11.157;13.818000000000001;11.157;12.738;13.0;11.157;20.716;12.738;4.799;4.799;8.099;8.099
10.238;11.723;35.21;26.5;11.139;9.805;9.805;11.139;9.805;11.287;9.805;23.036;18.002000000000002;26.5;26.5;26.5;26.5;26.5;26.5;26.5;11.139;11.139;14.309999999999999;11.139;11.287;18.002000000000002;11.139;26.5;11.287;4.771;4.771;9.805;9.805
12.451;12.857;35.219;27.0;12.451;12.055;12.055;12.451;12.055;12.68;12.351;20.203;18.006999999999998;27.0;27.0;27.0;27.0;27.0;27.0;27.0;12.451;12.451;13.6;12.027;12.68;18.006999999999998;12.451;27.0;12.68;4.71;4.71;12.055;12.055
14.849;14.849;30.011000000000003;29.236;14.849;13.956999999999999;13.956999999999999;14.849;13.956999999999999;14.849;14.849;24.555;15.344;30.0;30.0;30.0;30.0;30.0;30.0;30.0;14.849;14.849;14.849;12.027;14.849;15.344;14.849;29.236;14.849;4.638;4.638;13.956999999999999;13.956999999999999
14.809999999999999;16.212;28.966;26.543;13.8;13.469;13.469;13.8;13.469;17.506;13.8;25.279;14.809999999999999;30.0;30.0;30.0;30.0;30.0;38.214;30.0;13.8;13.8;21.4;12.027;17.506;14.809999999999999;13.8;26.543;17.506;4.57;4.57;13.469;13.469
13.350999999999999;12.391;26.508999999999997;24.009999999999998;11.764;11.482;11.482;11.764;11.482;18.0;11.764;23.47;13.553999999999998;27.5;27.5;27.5;27.5;27.5;38.214;27.5;11.764;11.764;19.2;11.764;18.0;13.553999999999998;11.764;24.009999999999998;18.0;4.5200000000000005;4.5200000000000005;11.482;11.482
12.5;12.07;24.449;22.116;11.770999999999999;11.770999999999999;9.291;11.770999999999999;9.291;14.643;11.770999999999999;17.66;12.5;22.116;22.116;22.116;22.116;22.116;38.214;22.116;11.770999999999999;11.770999999999999;14.98;11.761;15.377;12.5;11.770999999999999;22.116;15.377;4.384;4.384;9.291;9.291
9.89;11.101;19.344;19.908;9.595;9.595;7.239;9.595;7.239;10.571;9.595;19.908;9.89;19.908;19.908;19.908;19.908;19.908;19.908;19.908;9.595;9.595;14.422;9.595;14.193999999999999;9.89;9.595;19.908;14.193999999999999;4.257;4.257;7.239;7.239
10.844;11.997;21.209;15.956;10.568000000000001;10.568000000000001;3.9450000000000003;10.568000000000001;4.93;11.411;10.568000000000001;17.0;10.844;17.0;17.0;17.0;17.0;17.0;17.0;17.0;10.568000000000001;10.568000000000001;13.0;10.568000000000001;11.411;10.844;10.568000000000001;15.956;11.411;3.9450000000000003;3.9450000000000003;3.9450000000000003;3.9450000000000003
9.693000000000001;10.393;18.958000000000002;9.693000000000001;9.526;9.526;3.44;9.526;3.44;10.036;9.526;19.5;9.693000000000001;16.101;16.101;16.101;16.101;16.101;16.101;16.101;9.526;9.526;11.0;9.526;10.036;9.693000000000001;9.526;9.693000000000001;10.036;3.44;3.44;3.44;3.44
11.014;12.918000000000001;10.934000000000001;11.014;10.370000000000001;10.370000000000001;3.999;10.370000000000001;3.999;12.547;10.370000000000001;22.663999999999998;11.014;15.055000000000001;15.055000000000001;15.055000000000001;15.055000000000001;15.055000000000001;15.055000000000001;15.055000000000001;10.370000000000001;10.370000000000001;19.490000000000002;10.370000000000001;12.547;5.590999999999999;10.370000000000001;11.014;12.547;3.999;3.999;3.999;3.999
11.020999999999999;11.555;10.373999999999999;11.020999999999999;10.827;10.827;3.714;10.414;3.714;11.555;10.827;22.663999999999998;11.020999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;14.059999999999999;10.414;10.414;13.725;10.414;11.555;5.304;10.827;11.020999999999999;11.555;3.714;3.714;3.714;3.714
10.686;11.686;10.325;10.686;10.592;10.592;3.6659999999999995;10.259;3.6659999999999995;11.329;10.592;22.663999999999998;10.686;11.329;11.329;11.329;11.329;11.329;11.329;11.329;10.259;10.259;13.719999999999999;10.259;11.329;5.279;10.592;10.686;11.329;3.6659999999999995;3.6659999999999995;3.6659999999999995;3.6659999999999995
10.414;10.706999999999999;10.454;10.414;10.341;10.341;3.864;10.049;3.864;10.581;10.341;10.581;10.414;10.581;10.581;10.581;10.581;10.581;10.581;10.581;10.049;10.049;11.931000000000001;10.049;10.581;5.345000000000001;10.341;10.414;10.581;3.864;3.864;3.864;3.864
10.341;10.620999999999999;16.997;10.341;10.270999999999999;10.270999999999999;4.102;10.270999999999999;4.102;10.5;10.270999999999999;10.5;10.341;10.5;10.5;10.5;10.5;10.5;10.5;10.5;10.270999999999999;10.270999999999999;11.713;10.270999999999999;10.5;8.690000000000001;10.270999999999999;10.341;10.5;4.102;4.102;4.102;4.102
11.45;11.556999999999999;22.395;11.45;11.423;11.423;9.397;9.397;9.397;11.511;11.423;12.0;11.45;12.0;12.0;12.0;12.0;12.0;12.0;12.0;9.397;9.397;11.99;9.397;11.511;11.45;11.423;11.45;11.511;4.311;4.311;9.397;9.397
15.690999999999999;15.690999999999999;30.689;15.690999999999999;15.690999999999999;13.017;13.017;13.008000000000001;12.239;15.690999999999999;15.690999999999999;19.6;15.690999999999999;15.690999999999999;15.690999999999999;15.690999999999999;15.690999999999999;15.690999999999999;15.690999999999999;15.690999999999999;13.008000000000001;13.008000000000001;15.690999999999999;13.008000000000001;15.377;15.690999999999999;15.690999999999999;15.690999999999999;15.377;4.090999999999999;4.090999999999999;12.239;13.008000000000001
18.264;18.264;44.327;18.264;18.264;18.264;18.264;18.264;15.493;18.264;18.264;22.663999999999998;22.663999999999998;18.264;18.264;18.264;18.264;18.264;18.264;18.264;18.264;18.264;18.264;12.462;16.103;22.663999999999998;18.264;18.264;16.103;4.292;4.292;15.493;18.264
17.891;17.891;39.25;17.891;17.891;17.461000000000002;17.461000000000002;17.461000000000002;16.788;17.891;17.891;20.068;22.796;20.0;20.0;20.0;20.0;20.0;20.0;20.0;17.461000000000002;17.461000000000002;17.891;14.086000000000002;17.891;22.796;17.891;17.891;17.891;4.39;4.39;16.788;17.461000000000002
