AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IE_SEM;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
0.5780000000000001;0.08499999999999999;0.24900000000000003;0.7889999999999999;0.5780000000000001;0.08499999999999999;1.7710000000000001;0.568;0.568;0.15;0.08499999999999999;8.195;0.9960000000000001;20.6;17.973;17.973;17.973;17.973;17.973;17.973;17.973;0.568;0.568;0.08499999999999999;5.641;0.001;0.24900000000000003;0.9960000000000001;0.641;0.01;1.7710000000000001;1.7710000000000001;1.7710000000000001;1.7710000000000001
2.3850000000000002;2.35;0.97;2.379;2.372;2.353;2.411;1.7710000000000001;1.7710000000000001;2.35;2.353;17.973;2.387;19.5;18.806;18.806;18.806;18.806;18.806;18.806;18.806;1.7710000000000001;1.7710000000000001;2.353;9.166;0.1;0.97;2.387;2.3760000000000003;0.001;2.411;2.411;2.411;2.411
3.654;3.654;2.386;3.654;3.654;3.654;3.654;2.411;2.411;3.654;3.654;29.5;3.654;22.1;19.366999999999997;19.366999999999997;19.366999999999997;19.366999999999997;19.366999999999997;19.366999999999997;19.366999999999997;2.411;2.411;3.654;9.781;0.41600000000000004;2.386;3.654;3.654;0.1;3.654;3.654;3.654;3.654
4.603;4.603;3.654;4.603;4.603;4.603;4.603;3.654;3.654;4.603;4.603;34.815;4.603;25.5;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;21.336000000000002;3.654;3.654;4.603;10.208;1.51;3.654;4.603;4.603;0.41600000000000004;4.603;4.603;4.603;4.603
5.271;3.664;4.603;5.259;5.399;5.557;5.557;4.603;4.603;4.443;5.557;32.233999999999995;5.335;24.02;22.999000000000002;22.999000000000002;22.999000000000002;22.999000000000002;22.999000000000002;22.999000000000002;22.999000000000002;4.603;4.603;9.99;10.634;1.951;4.603;5.368;5.231;1.51;5.423;5.423;5.423;5.423
5.495;5.495;5.322;5.495;5.495;5.495;5.495;5.423;5.423;5.495;5.495;30.165;5.495;21.037;24.342;24.342;24.342;24.342;24.342;24.342;24.342;5.423;5.423;5.495;10.873000000000001;2.461;5.322;5.495;5.495;1.951;5.363;5.363;5.363;5.363
4.904999999999999;4.583;5.495;4.899;4.9159999999999995;4.923;4.923;5.363;5.363;4.738;4.923;35.315;4.9079999999999995;19.831;23.5;23.5;23.5;23.5;23.5;23.5;23.5;5.363;5.363;6.2;10.665000000000001;4.007;5.495;4.911;4.896;2.461;4.805;4.805;4.805;4.805
4.414;3.657;4.906000000000001;4.4030000000000005;4.456;4.4990000000000006;4.4990000000000006;4.805;4.805;4.024;4.4990000000000006;36.315;4.432;19.097;20.325;20.325;20.325;20.325;20.325;20.325;20.325;4.805;4.805;5.293;10.742;4.007;4.906000000000001;4.443;4.394;4.007;4.468;4.468;4.468;4.468
4.596;4.596;4.4270000000000005;4.596;4.596;4.596;4.596;4.468;4.468;4.596;4.596;28.356;4.596;17.655;19.085;19.085;19.085;19.085;19.085;19.085;19.085;4.468;4.468;4.596;10.381;1.6;4.4270000000000005;4.596;4.596;4.007;4.596;4.596;4.596;4.596
3.5;3.5;4.596;3.5;3.5;3.5;3.5;4.596;4.596;3.5;3.5;23.797;3.5;18.0;18.728;18.728;18.728;18.728;18.728;18.728;18.728;4.596;4.596;3.5;9.035;6.138;4.596;3.5;3.5;1.6;3.5;3.5;3.5;3.5
